city_id,name
1,"Lào Cai"
2,"Lai Châu"
3,"Điện Biên"
4,"Sơn La"
5,"Yên Bái"
6,"Hoà Bình"
7,"Thái Nguyên"
8,"Lạng Sơn"
9,"Quảng Ninh"
10,"Bắc Giang"
11,"Phú Thọ"
12,"Vĩnh Phúc"
13,"Bắc Ninh"
14,"Hải Dương"
15,"Hải Phòng"
16,"Hưng Yên"
17,"Thái Bình"
18,"Hà Nam"
19,"Nam Định"
20,"Ninh Bình"
21,"Thanh Hóa"
22,"Nghệ An"
23,"Hà Tĩnh"
24,"Quảng Bình"
25,"Quảng Trị"
26,"Thừa Thiên Huế"
27,"Đà Nẵng"
28,"Quảng Nam"
29,"Quảng Ngãi"
30,"Bình Định"
31,"Phú Yên"
32,"Khánh Hòa"
33,"Ninh Thuận"
34,"Bình Thuận"
35,"Kon Tum"
36,"Gia Lai"
37,"Đắk Lắk"
38,"Đắk Nông"
39,"Lâm Đồng"
40,"Bình Phước"
41,"Tây Ninh"
42,"Bình Dương"
43,"Đồng Nai"
44,"Bà Rịa - Vũng Tàu"
45,"Hồ Chí Minh"
46,"Long An"
47,"Tiền Giang"
48,"Bến Tre"
49,"Trà Vinh"
50,"Vĩnh Long"
51,"Đồng Tháp"
52,"An Giang"
53,"Kiên Giang"
54,"Cần Thơ"
55,"Hậu Giang"
56,"Sóc Trăng"
57,"Bạc Liêu"
58,"Cà Mau"
59,"Tuyên Quang"
60,"Hà Nội"
61,"Hà Giang"
62,"Cao Bằng"
63,"Bắc Kạn"
